iter	RMSE
0	59.36231302
1	59.34321933
2	59.32022176
3	59.2950021
4	59.27613914
5	59.27495047
6	59.26128293
7	59.24763149
8	59.24656997
9	59.20089616
10	59.17331732
11	59.1471991
12	59.14719811
13	59.11056238
14	59.07690506
15	59.07340442
16	59.03221278
17	59.01541387
18	58.9839775
19	58.98240971
20	58.96590476
21	58.95371443
22	58.94970081
23	58.91119152
24	58.91041593
25	58.90726306
26	58.90525355
27	58.89829971
28	58.8816084
29	58.88146014
30	58.87207183
31	58.84538881
32	58.83490259
33	58.81550628
34	58.79527628
35	58.7807813
36	58.7723171
37	58.76983412
38	58.72000391
39	58.71982966
40	58.69389543
41	58.69374401
42	58.69025148
43	58.67312461
44	58.6532512
45	58.64653683
46	58.60816364
47	58.59427026
48	58.57971604
49	58.56910851
50	58.55854686
51	58.54874572
52	58.54849067
53	58.5324106
54	58.52337677
55	58.51982226
56	58.49973819
57	58.48042655
58	58.46747444
59	58.46747418
60	58.44025955
61	58.43463087
62	58.42221202
63	58.42221202
64	58.39701801
65	58.38389639
66	58.36434939
67	58.3512397
68	58.35088562
69	58.33329372
70	58.31466829
71	58.29204722
72	58.28442611
73	58.2841218
74	58.24707183
75	58.23138726
76	58.23138717
77	58.23046164
78	58.23043937
79	58.21674812
80	58.20683404
81	58.18849015
82	58.18641955
83	58.18641955
84	58.17273487
85	58.15679468
86	58.1513837
87	58.13092198
88	58.12030073
89	58.10742948
90	58.10261573
91	58.09941765
92	58.09165792
93	58.07873533
94	58.06163523
95	58.03727978
96	58.03334263
97	58.01589814
98	57.99967117
99	57.96749511
100	57.95678701
101	57.92770891
102	57.90431474
103	57.89294129
104	57.87504255
105	57.86684621
106	57.83431736
107	57.81805208
108	57.78700209
109	57.76771183
110	57.76514915
111	57.75473008
112	57.74389434
113	57.74149647
114	57.72218443
115	57.67867216
116	57.67773201
117	57.67660681
118	57.64934575
119	57.59878601
120	57.59390091
121	57.58860808
122	57.58260059
123	57.56849914
124	57.54434903
125	57.52358277
126	57.49815678
